"product_name","price_regular","wine_type","price_offer","offer_from","id","details","grape_variety"
"KITZER Silvaner Sauvignon Blanc","4.49","white",NULL,NULL,97,"Je 0,75-l-Flasche\nAus Rheinhessen","Sauvignon Blanc"
"KITZER Silvaner Sauvignon Blanc","5.79","white",NULL,NULL,106,"Je 0,75-l-Flasche Aus Rheinhessen","Sauvignon Blanc"
"Gewürztraminer Rhh/Pfalz QbA","3.59","white",NULL,NULL,100,"Je 0,75-l-Flasche\nAnbaugebiet: Rheinhessen oder Pfalz\nAb 16 Jahren","Gewürztraminer"
"TAUSENDFARBEN Grauer Burgunder QbA","3.79","white",NULL,NULL,85,"Ab 16 Jahren. Trockener Weißwein aus der Pfalz erstrahlt in TAUSENDFARBEN. Julia Lergenmüller - eine Weinliebhaberin der nächsten Generation. Weinstil: Weißwein still. Trinktemperatur: 8 - 10 °C. Geschmack: trocken. Anbaugebiet: Pfalz. Herkunft: Deutschland. Rebsorte: Grauer Burgunder. Facettenreich aus der Pfalz. Qualität aus Deutschland",NULL
"Gewürztraminer Rhh/Pfalz QbA","2.69","white",NULL,NULL,109,"Je 0,75-l-Flasche Anbaugebiet: Rheinhessen oder Pfalz Ab 16 Jahren","Gewürztraminer"
"FRÄNKISCHES WEINKONTOR Rotling QbA 1","3.79","red","3.49","2024-03-11",2,"Je 1-l-Flasche
Hergestellt wird er aus weißen und roten Trauben
Weinstil: Roséwein still
Trinktemperatur: 8 - 10 °C
Geschmack: halbtrocken
Anbaugebiet: Franken
Herkunft: Deutschland
Ideal zu hellem Fleisch und Vegetarischem","Rotling"
"Coteaux d'Aix-En-Provence AOP","1.11","rose",NULL,NULL,31,"Je 0,75-l-Flasche
Ab 16 Jahren
Im Süden Frankreichs, zwischen Marseille und Aix en Provence liegt die Appellation Coteaux-d'Aix-en-Provence
Das mediterrane Klima mit seinen milden Wintern bildet die Grundlage für unvergleichliche Roséweine von Weltruf
Weinstil: Roséwein still
Trinktemperatur: 8 – 10 °C
Geschmack: trocken
Anbaugebiet: Provence
Herkunft: Frankreich
Rebsorte: Diverse",NULL
"Coteaux d'Aix-En-Provence AOP","2.99","rose",NULL,NULL,37,"Je 0,75-l-Flasche
88+ Punkte im falstaff Tasting 2022",NULL
"Riesling Nahe QbA","3.29","white","2.49","2024-03-25",105,"Je 0,75-l-Flasche Ab 16 Jahren Das Anbaugebiet Nahe entlang des gleichnamigen Flusses zählt flächenmäßig zu den kleineren deutschen Weinanbaugebieten. Auf den Schieferböden findet die anspruchsvolle Rieslingtraube perfekte Bedingungen vor, um ihre Potentiale hinsichtlich Mineralität und Fruchtaromatik zu entfalten. Weinstil: Weißwein still Trinktemperatur: 9 - 11 °C Geschmack: feinherb Anbaugebiet: Nahe Herkunft: Deutschland Rebsorte: Riesling","Riesling"
"Riesling Nahe QbA","4.99","white",NULL,NULL,96,"Je 0,75-l-Flasche\nAb 16 Jahren\nDas Anbaugebiet Nahe entlang des gleichnamigen Flusses zählt flächenmäßig zu den kleineren deutschen Weinanbaugebieten.\nAuf den Schieferböden findet die anspruchsvolle Rieslingtraube perfekte Bedingungen vor, um ihre Potentiale hinsichtlich Mineralität und Fruchtaromatik zu entfalten.\nWeinstil: Weißwein still\nTrinktemperatur: 9 - 11 °C\nGeschmack: feinherb\nAnbaugebiet: Nahe\nHerkunft: Deutschland\nRebsorte: Riesling","Riesling"
"Bio-Pinot Grigio delle Venezie DOC","3.99","white",NULL,NULL,102,"Je 0,75-l-Flasche\nAus Italien","Pinot Grigio"
"Bio-Pinot Grigio delle Venezie DOC","3.99","white",NULL,NULL,111,"Je 0,75-l-Flasche Aus Italien","Pinot Grigio"
"BARON PHILIPPE DE ROTHSCHILD Cabernet Sauvignon","2.99","red",NULL,NULL,15,"Je 0,75-l-Flasche
Ab 16 Jahren","Cabernet Sauvignon"
"Rotwein aus der Republik Nordmazedonien","4.49","red",NULL,NULL,19,"Je 1,0-l-Flasche
Ab 16 Jahren
Lieblicher Rotwein aus Südosteuropa
Unkomplizierter Trinkgenuss
Fruchtig im Geschmack
Weinstil: Rotwein still
Trinktemperatur: 16 - 18 °C
Geschmack: lieblich
Anbaugebiet: Republik Mazedonien
Herkunft: Republik Nordmazedonien
Rebsorte: Diverse",NULL
"Grüner Veltliner","2.49","white",NULL,NULL,108,"1,0-l-Flasche Ab 16 Jahren Intensiv und würzig - so präsentiert sich dieser Grüner Veltliner aus Österreich. Als Jungwein getrunken hat er seinen Namen von den Buschenschänken Österreichs, den ""Heurigen"". Überzeugen Sie sich selbst von Österreichs beliebtester Rebsorte! Weinstil: Weißwein still Trinktemperatur: 9-11 °C Geschmack: trocken Anbaugebiet: Niederösterreich Herkunft: Österreich Rebsorte: Grüner Veltliner","Grüner Veltliner"
"GRANDE ALBERONE Bianco","5.99","white",NULL,NULL,77,"Je 0,75-l-Flasche\nAb 16 Jahren\n13 % Vol.\nHerkunft: Italien\nRebsorte: Chardonnay, Catarratto, Inzolia\nJahrgang: 2021\nGeschmack: Halbtrocken\nPassend zu: Apéro, Fisch, Vegetarisch, Käse\nServiertemperatur: 7° - 9° C\nLagerdauer: 2 - 3 Jahre\nEin frischer, angenehm fruchtiger Wein, der Sie an alle Eigenschaften Italiens erinnert: vom kühlen Norden bis zur umhüllenden Wärme des Südens\nPasst hervorragend zu Fleisch, Fisch und weichem Käse",NULL
"GRANDE ALBERONE Bianco","2.79","white",NULL,NULL,89,"Je 0,75-l-Flasche\nAb 16 Jahren\n13 % Vol.\nHerkunft: Italien\nRebsorte: Chardonnay, Catarratto, Inzolia\nJahrgang: 2021\nGeschmack: Halbtrocken\nPassend zu: Apéro, Fisch, Vegetarisch, Käse\nServiertemperatur: 7° - 9° C\nLagerdauer: 2 - 3 Jahre\nEin frischer, angenehm fruchtiger Wein, der Sie an alle Eigenschaften Italiens erinnert: vom kühlen Norden bis zur umhüllenden Wärme des Südens\nPasst hervorragend zu Fleisch, Fisch und weichem Käse",NULL
"Mario Collina Primitivo Rosato Puglia IGT","2.99","rose",NULL,NULL,33,"Je 0,75-l-Flasche
Ab 16 Jahren
Die beliebte, italienische Primitivo Rebsorte als fruchtiger Rosé
Ein guter Wein für laue Sommerabende
Weinstil: Roséwein still
Trinktemperatur: 10 - 12 °C
Geschmack: halbtrocken
Anbaugebiet: Apulien
Herkunft: Italien","Primitivo"
